time,place tortilla on cutting board,scoop peanut butter from the jar with a knife,spread peanut butter on the tortilla,wipe off knife with a paper towel,scoop grape jelly from the jar with a knife,spread grape jelly on the tortilla,roll tortilla into a roll,grab toothpicks,insert toothpicks into the roll,cut the ends of the tortilla,grab string,slide string under the tortilla,slice the wrap into small pieces using a string,place the mini wraps onto the plate
26.0,0.1086,0.0141,0.1069,0.0456,0.0312,0.1173,0.0598,0.2169,0.0702,0.0153,0.1419,0.0232,0.0103,0.0386
26.2,0.0758,0.0142,0.0833,0.0568,0.0343,0.0962,0.0481,0.2646,0.0889,0.0134,0.16,0.0247,0.0094,0.0304
26.4,0.0548,0.0142,0.0669,0.0685,0.0366,0.0812,0.0405,0.2889,0.1115,0.0116,0.1666,0.0243,0.0093,0.0253
26.6,0.0369,0.0139,0.0528,0.0792,0.0365,0.0658,0.0336,0.3065,0.1349,0.0098,0.1766,0.0235,0.0091,0.021
26.8,0.0236,0.0133,0.0405,0.0906,0.0366,0.0518,0.0265,0.3228,0.1568,0.0081,0.1822,0.0222,0.0087,0.0162
27.0,0.0145,0.0121,0.0278,0.0946,0.0351,0.038,0.0198,0.3728,0.1448,0.0057,0.1967,0.0193,0.0066,0.0124
27.2,0.0124,0.0128,0.0209,0.0994,0.0317,0.0266,0.0169,0.392,0.12,0.0042,0.2347,0.0142,0.005,0.009
27.4,0.0105,0.0134,0.0154,0.1,0.0274,0.0183,0.014,0.4014,0.0977,0.003,0.2787,0.01,0.0037,0.0066
27.6,0.01,0.0139,0.012,0.0978,0.0234,0.0132,0.0137,0.4144,0.0831,0.0024,0.3003,0.0078,0.0029,0.0051
27.8,0.0103,0.0139,0.0116,0.0912,0.0249,0.0131,0.0141,0.3988,0.0696,0.0025,0.3318,0.0081,0.0033,0.0066
28.0,0.0106,0.014,0.0112,0.0857,0.0262,0.0129,0.0144,0.3786,0.058,0.0027,0.365,0.0084,0.0036,0.0087
28.2,0.0092,0.0123,0.0091,0.0761,0.0217,0.0115,0.0135,0.3853,0.0471,0.0023,0.3937,0.007,0.0032,0.008
28.4,0.008,0.0106,0.0073,0.0668,0.0176,0.01,0.0124,0.3887,0.0375,0.0019,0.4234,0.0057,0.0028,0.0071
28.6,0.0072,0.0096,0.0055,0.0575,0.0161,0.008,0.0103,0.3796,0.0297,0.0015,0.4612,0.0041,0.0025,0.0071
28.8,0.0067,0.0088,0.0041,0.0501,0.0148,0.0064,0.0086,0.3681,0.0235,0.0012,0.4948,0.0029,0.0022,0.0076
29.0,0.0068,0.0075,0.0035,0.0471,0.0138,0.0059,0.0083,0.3383,0.0229,0.0013,0.5318,0.0024,0.0022,0.0082
29.2,0.0068,0.006,0.0034,0.0409,0.0137,0.0066,0.0076,0.3013,0.0211,0.0016,0.5744,0.0026,0.0025,0.0113
29.4,0.0069,0.0048,0.0033,0.0359,0.014,0.0075,0.0071,0.2676,0.0192,0.0019,0.6105,0.0029,0.0028,0.0155
29.6,0.0065,0.0036,0.0032,0.0295,0.0144,0.0084,0.006,0.2403,0.0179,0.0023,0.6398,0.0029,0.0034,0.0217
29.8,0.0065,0.0028,0.0029,0.0276,0.0129,0.0082,0.0053,0.218,0.0164,0.0023,0.6698,0.0026,0.0032,0.0213
30.0,0.0067,0.0022,0.0026,0.025,0.0115,0.0078,0.005,0.1934,0.0144,0.0023,0.7041,0.0023,0.0031,0.0197
30.2,0.0077,0.0018,0.0027,0.0232,0.0125,0.0079,0.0049,0.1566,0.0127,0.0027,0.7367,0.0023,0.0034,0.0249
30.4,0.0088,0.0015,0.0027,0.0212,0.0135,0.008,0.0047,0.1258,0.0111,0.0032,0.7614,0.0024,0.0038,0.0318
30.6,0.0092,0.0013,0.0027,0.0214,0.0138,0.0085,0.0044,0.1044,0.0096,0.0039,0.7771,0.0026,0.004,0.0372
30.8,0.0091,0.001,0.0025,0.0204,0.0132,0.0086,0.0038,0.0859,0.0081,0.0044,0.7956,0.0028,0.0041,0.0403
31.0,0.0085,0.0009,0.0024,0.0206,0.0117,0.0082,0.0033,0.0795,0.0067,0.0042,0.8095,0.0029,0.003,0.0386
31.2,0.0084,0.0009,0.0024,0.0225,0.0115,0.0081,0.0029,0.0796,0.0067,0.0041,0.81,0.0029,0.0027,0.0374
31.4,0.008,0.0008,0.0024,0.0242,0.0111,0.008,0.0025,0.0807,0.0067,0.0038,0.8114,0.0028,0.0023,0.0353
31.6,0.0082,0.0009,0.0024,0.028,0.0106,0.0079,0.0024,0.0794,0.0063,0.0037,0.8125,0.003,0.002,0.0329
31.8,0.0078,0.0008,0.0021,0.0264,0.0091,0.0069,0.0019,0.0814,0.0064,0.0034,0.8207,0.0025,0.0016,0.0291
32.0,0.009,0.0009,0.0024,0.0322,0.0094,0.0076,0.002,0.0809,0.0064,0.0039,0.8088,0.0027,0.0016,0.0322
32.2,0.0106,0.0009,0.0026,0.0395,0.0099,0.0085,0.0021,0.0804,0.0065,0.0045,0.7943,0.003,0.0016,0.0357
32.4,0.0109,0.0011,0.0029,0.0498,0.0097,0.0092,0.0021,0.0862,0.0069,0.0051,0.7722,0.0032,0.0016,0.0392
32.6,0.0124,0.0012,0.0036,0.0609,0.0098,0.0109,0.0026,0.0941,0.0079,0.0062,0.742,0.0037,0.0019,0.0428
32.8,0.0135,0.0015,0.0044,0.0636,0.0117,0.0134,0.0028,0.0929,0.0082,0.0073,0.731,0.0042,0.0022,0.0434
33.0,0.0138,0.0019,0.0052,0.0677,0.0153,0.0172,0.0029,0.0904,0.0086,0.0086,0.7135,0.0047,0.0033,0.0468
33.2,0.014,0.0025,0.0058,0.0614,0.0191,0.0192,0.0036,0.0833,0.0088,0.0104,0.7099,0.0049,0.0044,0.0526
33.4,0.0143,0.0033,0.0066,0.0557,0.0242,0.0218,0.0044,0.0767,0.0092,0.0127,0.7001,0.0051,0.006,0.0597
33.6,0.0235,0.0059,0.0121,0.0624,0.0342,0.0328,0.0076,0.0668,0.0082,0.0213,0.6308,0.0067,0.0095,0.078
33.8,0.0381,0.0112,0.0233,0.0779,0.0501,0.0511,0.014,0.0525,0.0065,0.0351,0.5171,0.01,0.0142,0.099
34.0,0.0557,0.0181,0.04,0.0783,0.061,0.0728,0.0226,0.0413,0.0059,0.0496,0.4104,0.0156,0.0194,0.1093
34.2,0.076,0.0271,0.0634,0.074,0.069,0.0968,0.0335,0.0303,0.005,0.0647,0.3018,0.0223,0.0246,0.1114
34.4,0.1097,0.0361,0.0812,0.063,0.0817,0.1155,0.0437,0.0191,0.0034,0.0719,0.1957,0.0269,0.0284,0.1236
34.6,0.1599,0.042,0.1075,0.048,0.0791,0.1336,0.0608,0.0108,0.0023,0.0772,0.1107,0.0352,0.0273,0.1056
34.8,0.2214,0.0401,0.1323,0.0377,0.0589,0.1342,0.0859,0.006,0.0015,0.077,0.0547,0.0421,0.0216,0.0866
35.0,0.2798,0.0365,0.1508,0.027,0.0403,0.1249,0.1118,0.0032,0.001,0.0718,0.0251,0.0457,0.0163,0.066
35.2,0.3373,0.0271,0.1553,0.0222,0.0295,0.1201,0.1145,0.0019,0.0006,0.0677,0.0132,0.0447,0.0122,0.0535
35.4,0.3842,0.0222,0.1627,0.0187,0.0214,0.1166,0.1096,0.0011,0.0004,0.0607,0.0077,0.0395,0.0099,0.0452
35.6,0.401,0.0196,0.1499,0.0181,0.0202,0.1237,0.1059,0.001,0.0004,0.0553,0.0072,0.0398,0.0099,0.0479
35.8,0.4254,0.0201,0.1303,0.0178,0.0196,0.1203,0.1145,0.0009,0.0004,0.0499,0.0068,0.0377,0.0089,0.0476
36.0,0.4411,0.0224,0.1209,0.0183,0.0214,0.1183,0.113,0.001,0.0004,0.0465,0.0073,0.0317,0.0086,0.0493
36.2,0.4498,0.0236,0.1118,0.0182,0.0231,0.1189,0.1126,0.001,0.0004,0.0456,0.0076,0.0264,0.0083,0.0526
36.4,0.4487,0.0241,0.1133,0.0192,0.0218,0.1204,0.1192,0.001,0.0004,0.046,0.0083,0.0256,0.0073,0.0447
36.6,0.4351,0.0282,0.1092,0.0228,0.0249,0.123,0.1188,0.0012,0.0004,0.0465,0.0103,0.0228,0.0075,0.0492
36.8,0.4193,0.0331,0.1053,0.0271,0.0283,0.1252,0.1177,0.0014,0.0004,0.0472,0.0125,0.0201,0.0077,0.0547
37.0,0.408,0.0348,0.1075,0.033,0.0303,0.1272,0.1171,0.0014,0.0005,0.045,0.0124,0.0172,0.0071,0.0585
37.2,0.4028,0.0377,0.1161,0.0366,0.029,0.1274,0.1228,0.0013,0.0004,0.0404,0.0105,0.0154,0.006,0.0535
37.4,0.4114,0.0332,0.1213,0.0352,0.0244,0.1266,0.1328,0.0012,0.0004,0.0395,0.0086,0.0146,0.0053,0.0454
37.6,0.4147,0.029,0.1257,0.0334,0.0205,0.1263,0.145,0.0012,0.0004,0.0391,0.007,0.0139,0.0046,0.0393
