time,gt,no action,open drawer,pick up bowl,put cereal box,open fridge,pick up milk bottle,close fridge,open milk bottle,pour milk into bowl with cereals,still pouring milk,pour milk,put lid on milk bottle,turn on tap,put milk in fridge,pick up ham,pick up salads,put down salad and ham,pick up plate,put down plate,open salad packaging,pour salad into bowl,still pouring salad into bowl,rinse bowl,close salad packaging,pick up clip,clip salad packaging,put salad in fridge,open cupboard,pick up bread,close cupboard,put down bread,turn off tap,pick up sauce,open sauce,pour sauce over salad,close sauce,pick up tissue,wipe sauce with tissue,put down sauce,put tissue in bin,open dishwasher,put down bowl,pick up fork,close drawer,close dishwasher,put fork,pick up cereal bowl,pick up salad bowl,put down bowls,put down fork,pick up breads,pick up cereal box,move chair,sit on chair,take slice of bread from bread packaging,put bread in bowl,take ham from ham packaging,put ham between bread slices,put sandwich in bowl,put ham in fridge,open cereal box,pour cereals into bowl,close cereal box
1.0844,open drawer,0.0029,0.0217,0.0301,0.008,0.0427,0.019,0.0485,0.0275,0.0009,0.0014,0.0064,0.0049,0.0162,0.0106,0.0061,0.0883,0.0611,0.0225,0.0124,0.0422,0.0034,0.0053,0.0013,0.0202,0.0146,0.0032,0.0093,0.0439,0.0321,0.0359,0.0057,0.0151,0.0204,0.0016,0.0,0.0016,0.0028,0.0003,0.0149,0.0048,0.0074,0.0266,0.0471,0.0216,0.0113,0.0063,0.0066,0.0292,0.0191,0.0091,0.0187,0.0123,0.006,0.0342,0.0001,0.0006,0.0058,0.0015,0.0004,0.014,0.0046,0.0003,0.0074
1.1678,open drawer,0.0027,0.018,0.0311,0.0072,0.0413,0.0208,0.0467,0.0282,0.0009,0.0017,0.0066,0.0054,0.013,0.0117,0.0067,0.0948,0.0654,0.0228,0.0129,0.0401,0.0031,0.0051,0.0009,0.0192,0.0142,0.0033,0.0104,0.0386,0.0385,0.0315,0.007,0.012,0.0235,0.0016,0.0,0.0016,0.0027,0.0003,0.0174,0.005,0.0065,0.0265,0.0448,0.0178,0.0101,0.0059,0.0074,0.0254,0.0179,0.0082,0.0231,0.0131,0.0052,0.0372,0.0002,0.0007,0.0067,0.0019,0.0004,0.016,0.004,0.0003,0.0069
1.2512,open drawer,0.0028,0.0184,0.0285,0.0077,0.0442,0.0213,0.05,0.0277,0.0012,0.002,0.0078,0.0058,0.011,0.0122,0.007,0.0962,0.0648,0.0205,0.0116,0.0404,0.0029,0.0054,0.0007,0.019,0.0135,0.0036,0.0113,0.0363,0.0444,0.0287,0.0082,0.0099,0.0249,0.0016,0.0001,0.0015,0.0026,0.0004,0.0177,0.0057,0.0066,0.0239,0.0385,0.0179,0.0102,0.0054,0.0087,0.0215,0.018,0.0065,0.0247,0.015,0.0042,0.0379,0.0002,0.001,0.0074,0.0024,0.0005,0.0179,0.0043,0.0003,0.0074
1.3347,open drawer,0.0029,0.0217,0.0279,0.0081,0.0507,0.026,0.0545,0.0314,0.0016,0.0026,0.0093,0.0072,0.0087,0.0143,0.0065,0.0801,0.0552,0.018,0.0096,0.0342,0.0024,0.0053,0.0005,0.0159,0.0133,0.0035,0.012,0.0394,0.0454,0.0293,0.008,0.0077,0.0288,0.0019,0.0001,0.0017,0.0023,0.0006,0.02,0.0062,0.0072,0.0212,0.0407,0.0203,0.0106,0.0056,0.0106,0.0157,0.0168,0.0058,0.0258,0.0181,0.0035,0.0384,0.0003,0.0012,0.0084,0.0025,0.0005,0.0189,0.0048,0.0003,0.0082
1.4181,open drawer,0.0026,0.0274,0.0282,0.0068,0.0529,0.0279,0.0558,0.0341,0.0017,0.003,0.0098,0.0078,0.0093,0.0155,0.0052,0.0703,0.0474,0.0154,0.0085,0.0339,0.0025,0.0058,0.0004,0.0169,0.0125,0.0033,0.0123,0.0424,0.0387,0.0304,0.007,0.0085,0.0298,0.0021,0.0001,0.0017,0.0022,0.0008,0.0216,0.0061,0.0075,0.0224,0.047,0.025,0.0105,0.0061,0.0101,0.0147,0.017,0.0065,0.0241,0.0164,0.0035,0.0394,0.0003,0.0012,0.0078,0.0021,0.0005,0.0178,0.0042,0.0003,0.0072
1.5015,open drawer,0.0021,0.0308,0.0297,0.006,0.06,0.0298,0.0621,0.0366,0.0017,0.0037,0.0103,0.0085,0.0083,0.0181,0.0044,0.0585,0.0398,0.0146,0.0077,0.0318,0.0024,0.0063,0.0003,0.0167,0.0122,0.0031,0.0126,0.0424,0.0346,0.0298,0.0062,0.0074,0.031,0.0022,0.0001,0.0018,0.0022,0.0012,0.0229,0.006,0.0074,0.0228,0.0528,0.0277,0.0101,0.0061,0.0096,0.0139,0.0173,0.007,0.0227,0.0143,0.0034,0.0385,0.0004,0.0013,0.0075,0.0018,0.0004,0.018,0.0039,0.0003,0.0067
1.5849,open drawer,0.002,0.0365,0.0282,0.0061,0.0707,0.031,0.0693,0.0385,0.0015,0.0044,0.0109,0.0075,0.0078,0.0232,0.0037,0.0519,0.0314,0.013,0.0069,0.0305,0.0023,0.0068,0.0003,0.0161,0.0109,0.0028,0.0134,0.041,0.0329,0.028,0.0058,0.0072,0.0304,0.0022,0.0001,0.0018,0.0022,0.0016,0.0224,0.0063,0.0079,0.0203,0.053,0.0327,0.0103,0.0057,0.0107,0.014,0.0157,0.0071,0.021,0.0146,0.0033,0.0336,0.0003,0.0013,0.0068,0.0016,0.0004,0.0186,0.0043,0.0003,0.007
1.6683,open drawer,0.0023,0.0423,0.0294,0.0067,0.0697,0.0383,0.0639,0.0448,0.0016,0.0052,0.0102,0.0078,0.0077,0.0266,0.0032,0.0451,0.0242,0.012,0.006,0.0255,0.0019,0.0068,0.0003,0.0135,0.0096,0.0026,0.013,0.0418,0.0331,0.0262,0.0054,0.0073,0.0314,0.0023,0.0001,0.0018,0.0022,0.0024,0.023,0.0065,0.0096,0.0199,0.0545,0.0366,0.0123,0.0055,0.0132,0.0125,0.0141,0.0069,0.0191,0.0163,0.0032,0.032,0.0003,0.0016,0.0066,0.0014,0.0003,0.0174,0.0048,0.0003,0.0077
1.7518,open drawer,0.0028,0.0455,0.0325,0.0067,0.0678,0.0437,0.0602,0.0456,0.0016,0.0062,0.0096,0.0074,0.0093,0.0286,0.0032,0.0422,0.0192,0.0123,0.0062,0.0219,0.0018,0.0075,0.0004,0.0115,0.0083,0.0024,0.0128,0.0398,0.0346,0.0239,0.0056,0.0088,0.0317,0.0023,0.0001,0.0018,0.0022,0.0032,0.0233,0.0058,0.0101,0.0214,0.0508,0.0392,0.0128,0.005,0.0154,0.0126,0.0139,0.0066,0.0196,0.0164,0.0033,0.0319,0.0003,0.002,0.0069,0.0014,0.0003,0.0165,0.0049,0.0003,0.0079
1.8352,open drawer,0.0027,0.0487,0.0336,0.0064,0.0743,0.042,0.0647,0.0404,0.0016,0.0077,0.0089,0.0059,0.011,0.0313,0.0029,0.0362,0.0167,0.0125,0.0065,0.02,0.0018,0.0091,0.0005,0.0105,0.0067,0.0021,0.013,0.046,0.0331,0.0275,0.0051,0.0102,0.0318,0.0026,0.0001,0.002,0.0022,0.0037,0.0234,0.0061,0.0105,0.0217,0.0446,0.0423,0.0138,0.0043,0.0163,0.0138,0.0121,0.0067,0.0173,0.0153,0.0035,0.0297,0.0003,0.002,0.0055,0.0011,0.0002,0.0151,0.0045,0.0003,0.0074
1.9186,open drawer,0.0027,0.0503,0.0336,0.0062,0.0778,0.0469,0.0668,0.0413,0.0015,0.0094,0.0082,0.0052,0.0136,0.0349,0.0025,0.0317,0.0144,0.0115,0.0063,0.018,0.0017,0.0101,0.0005,0.0098,0.0062,0.002,0.0133,0.049,0.0285,0.0288,0.0045,0.0127,0.0274,0.0024,0.0001,0.0019,0.0023,0.0043,0.0206,0.0057,0.0102,0.0223,0.0435,0.044,0.0143,0.004,0.0187,0.0127,0.0111,0.0071,0.016,0.0153,0.0036,0.0293,0.0002,0.0019,0.0049,0.0008,0.0002,0.0134,0.0042,0.0002,0.0072
2.002,open drawer,0.0026,0.0562,0.0318,0.0067,0.0809,0.0498,0.0684,0.0406,0.0014,0.0112,0.0071,0.0044,0.0136,0.0367,0.0023,0.0252,0.0128,0.0099,0.0055,0.0169,0.0016,0.0117,0.0005,0.0095,0.0055,0.0019,0.013,0.0545,0.0239,0.0314,0.0036,0.0123,0.0262,0.0026,0.0,0.002,0.0023,0.0054,0.0194,0.0054,0.0096,0.0205,0.0444,0.0494,0.0142,0.0039,0.0194,0.0121,0.0098,0.0075,0.013,0.015,0.0037,0.0288,0.0002,0.002,0.0047,0.0006,0.0002,0.012,0.0045,0.0002,0.0078
2.0854,open drawer,0.0027,0.0592,0.0307,0.0067,0.0837,0.0526,0.0693,0.043,0.0012,0.0129,0.0064,0.004,0.0133,0.0403,0.0021,0.022,0.0124,0.0096,0.0052,0.017,0.0017,0.0133,0.0005,0.0097,0.0049,0.0019,0.0144,0.0539,0.0214,0.0313,0.003,0.0117,0.0248,0.0028,0.0,0.0023,0.0023,0.0057,0.0182,0.0047,0.0092,0.0189,0.0443,0.0522,0.0141,0.0037,0.0186,0.0123,0.0083,0.0078,0.0117,0.0134,0.004,0.0279,0.0002,0.002,0.0042,0.0005,0.0002,0.0114,0.0045,0.0002,0.0078
2.1688,open drawer,0.0025,0.0538,0.0257,0.0066,0.086,0.0567,0.0695,0.0467,0.001,0.0145,0.006,0.0035,0.0135,0.0417,0.0023,0.0218,0.0143,0.0082,0.0047,0.0201,0.0021,0.0168,0.0004,0.0116,0.0049,0.0021,0.0164,0.0501,0.0233,0.0299,0.0034,0.0116,0.0241,0.0032,0.0,0.0025,0.0028,0.0062,0.019,0.0047,0.0079,0.0165,0.0436,0.0478,0.0122,0.0034,0.0187,0.0155,0.0063,0.0088,0.0107,0.0122,0.0046,0.0268,0.0002,0.002,0.004,0.0005,0.0002,0.0113,0.0045,0.0002,0.0075
2.2523,open drawer,0.0028,0.0531,0.0244,0.0075,0.0853,0.0637,0.0689,0.0459,0.0009,0.0159,0.0056,0.0034,0.0126,0.0404,0.0027,0.0208,0.0131,0.0074,0.0041,0.0197,0.002,0.018,0.0004,0.0113,0.0057,0.0023,0.0182,0.0453,0.024,0.0273,0.0035,0.0109,0.0244,0.0035,0.0,0.0027,0.0032,0.0068,0.02,0.0047,0.0081,0.015,0.0421,0.0469,0.0127,0.0032,0.0222,0.0162,0.0055,0.009,0.0106,0.0131,0.005,0.0269,0.0001,0.0023,0.004,0.0004,0.0002,0.011,0.0051,0.0002,0.0082
2.3357,open drawer,0.0031,0.0542,0.0218,0.008,0.0869,0.066,0.0708,0.043,0.0008,0.0168,0.0052,0.0031,0.0137,0.0383,0.0031,0.0196,0.0132,0.0063,0.0033,0.0195,0.0021,0.0185,0.0004,0.0114,0.0068,0.0026,0.019,0.04,0.026,0.0244,0.0037,0.0118,0.0236,0.0036,0.0,0.0028,0.0038,0.0074,0.0194,0.0046,0.0077,0.0127,0.043,0.0479,0.0123,0.0033,0.0245,0.0168,0.0047,0.0089,0.01,0.0138,0.0053,0.0262,0.0001,0.0026,0.0046,0.0005,0.0002,0.0115,0.0058,0.0001,0.0088
2.4191,open drawer,0.0031,0.0544,0.0199,0.0083,0.0847,0.0706,0.0716,0.0412,0.0008,0.0168,0.0057,0.0033,0.0121,0.0343,0.0041,0.0203,0.0137,0.0056,0.0029,0.0196,0.0018,0.0152,0.0003,0.0117,0.008,0.003,0.0187,0.0354,0.0275,0.0226,0.004,0.0101,0.0257,0.0039,0.0001,0.0032,0.0046,0.0088,0.0214,0.0047,0.0063,0.0118,0.0423,0.0488,0.0101,0.0031,0.026,0.0143,0.0045,0.0088,0.0112,0.0146,0.006,0.0312,0.0002,0.0028,0.0057,0.0006,0.0003,0.012,0.0064,0.0001,0.0095
2.5025,open drawer,0.0029,0.0574,0.0187,0.0079,0.082,0.0678,0.0708,0.0378,0.0008,0.0176,0.0064,0.0033,0.012,0.0319,0.0047,0.0209,0.0158,0.0054,0.0026,0.0223,0.0019,0.0146,0.0003,0.0137,0.0089,0.0036,0.0193,0.0313,0.0248,0.0209,0.0038,0.0097,0.0255,0.0038,0.0001,0.0031,0.0053,0.0098,0.0208,0.0048,0.0051,0.0112,0.0449,0.0529,0.0081,0.0031,0.0231,0.0137,0.005,0.0097,0.0121,0.0137,0.0072,0.0362,0.0002,0.0027,0.0061,0.0006,0.0003,0.0126,0.0067,0.0002,0.0096
2.5859,open drawer,0.0029,0.0636,0.0189,0.0082,0.0687,0.0654,0.0606,0.0393,0.0008,0.0212,0.008,0.0035,0.0111,0.0249,0.0049,0.0191,0.0182,0.0052,0.0022,0.027,0.002,0.0148,0.0002,0.0169,0.0091,0.0044,0.0178,0.0294,0.0216,0.0202,0.003,0.0092,0.0275,0.0042,0.0001,0.0034,0.0063,0.0114,0.0211,0.0057,0.0046,0.0105,0.0505,0.0587,0.007,0.0032,0.023,0.0131,0.0054,0.0099,0.0108,0.0146,0.0076,0.0398,0.0002,0.0027,0.0062,0.0006,0.0003,0.0109,0.0078,0.0002,0.0106
2.6693,open drawer,0.003,0.0632,0.0172,0.0089,0.0608,0.074,0.0538,0.0432,0.0008,0.019,0.009,0.0042,0.0105,0.0235,0.005,0.018,0.0165,0.0043,0.0016,0.0277,0.0019,0.0122,0.0002,0.0171,0.0094,0.0051,0.0177,0.0234,0.0215,0.0163,0.0031,0.0089,0.0302,0.0043,0.0001,0.0035,0.007,0.0159,0.0229,0.0049,0.0044,0.0093,0.0503,0.0588,0.0061,0.003,0.0262,0.0108,0.0059,0.0093,0.0108,0.016,0.0088,0.0459,0.0002,0.0031,0.0072,0.0006,0.0004,0.0108,0.0099,0.0002,0.0123
2.7528,open drawer,0.0032,0.0611,0.0154,0.0105,0.0538,0.0753,0.0474,0.0447,0.0009,0.0194,0.01,0.0049,0.009,0.0211,0.0058,0.0185,0.0172,0.0036,0.0012,0.0296,0.0018,0.0105,0.0001,0.0177,0.01,0.0061,0.0182,0.0185,0.0205,0.0131,0.0031,0.0078,0.0325,0.0044,0.0001,0.0037,0.0076,0.0223,0.0241,0.0051,0.0043,0.0079,0.0475,0.0566,0.0055,0.0025,0.0289,0.0087,0.0056,0.0082,0.0113,0.018,0.0095,0.0507,0.0002,0.0032,0.0093,0.0007,0.0006,0.0118,0.0136,0.0002,0.0153
2.8362,open drawer,0.0031,0.0575,0.0137,0.012,0.054,0.0709,0.0477,0.041,0.0009,0.017,0.0115,0.0052,0.0091,0.0212,0.0067,0.0188,0.0184,0.0032,0.0011,0.0353,0.0018,0.0091,0.0001,0.0201,0.0109,0.0078,0.0202,0.0163,0.0194,0.0117,0.0033,0.008,0.0313,0.0045,0.0001,0.0039,0.0079,0.0267,0.0241,0.0053,0.0043,0.0074,0.0413,0.0535,0.005,0.002,0.03,0.008,0.0056,0.0073,0.0114,0.0193,0.0098,0.0502,0.0003,0.0031,0.0106,0.0008,0.0006,0.0136,0.017,0.0003,0.0176
2.9196,open drawer,0.0031,0.0634,0.013,0.0116,0.0533,0.0583,0.0461,0.0308,0.0009,0.0163,0.0117,0.0044,0.01,0.0197,0.0069,0.0176,0.02,0.0031,0.0011,0.0405,0.0019,0.0095,0.0001,0.0223,0.0117,0.0087,0.0222,0.0159,0.017,0.011,0.0033,0.009,0.0315,0.0048,0.0001,0.0042,0.0084,0.0337,0.0264,0.0055,0.0048,0.0077,0.0406,0.0578,0.0051,0.002,0.0291,0.0085,0.0056,0.0079,0.0108,0.0186,0.0105,0.0482,0.0003,0.0028,0.0107,0.0008,0.0007,0.0141,0.0177,0.0003,0.0168
3.003,open drawer+pick up bowl,0.0032,0.0725,0.0142,0.0139,0.0478,0.0535,0.0408,0.0249,0.0011,0.0162,0.0129,0.0043,0.0101,0.0185,0.0061,0.0174,0.0169,0.0033,0.0011,0.0415,0.0018,0.008,0.0001,0.0215,0.0114,0.0085,0.024,0.0162,0.0143,0.0107,0.0028,0.0092,0.0296,0.0043,0.0001,0.0038,0.0075,0.0359,0.0245,0.0056,0.0073,0.0084,0.0365,0.0641,0.0071,0.0018,0.0319,0.0073,0.0063,0.0068,0.0112,0.021,0.01,0.0498,0.0003,0.0031,0.0103,0.0008,0.0008,0.0137,0.0218,0.0003,0.0196
3.0864,open drawer+pick up bowl,0.0034,0.0753,0.0146,0.0166,0.0438,0.0425,0.0366,0.0193,0.0014,0.0156,0.0144,0.0035,0.0107,0.0176,0.0062,0.0199,0.0171,0.0036,0.0011,0.044,0.0019,0.0069,0.0001,0.021,0.0103,0.0084,0.0244,0.0192,0.013,0.0122,0.0025,0.0098,0.0286,0.0041,0.0001,0.0035,0.0075,0.0382,0.0219,0.0065,0.0094,0.0083,0.0325,0.0666,0.0086,0.0014,0.0337,0.007,0.0064,0.0056,0.0117,0.024,0.0099,0.0487,0.0003,0.0027,0.0104,0.0008,0.0008,0.0141,0.0261,0.0004,0.0232
3.1698,open drawer+pick up bowl,0.0036,0.076,0.0152,0.0186,0.0417,0.0385,0.0342,0.0171,0.0017,0.0158,0.0158,0.0032,0.0102,0.0173,0.0061,0.0237,0.0167,0.0038,0.0011,0.0465,0.0019,0.0066,0.0001,0.0215,0.0095,0.0078,0.026,0.0209,0.0105,0.0128,0.002,0.0099,0.0266,0.0035,0.0002,0.0031,0.0066,0.0373,0.0201,0.0077,0.0114,0.0085,0.0278,0.0661,0.0099,0.001,0.0351,0.0066,0.0071,0.0048,0.0127,0.026,0.0107,0.0519,0.0003,0.0022,0.0093,0.0007,0.0007,0.0147,0.0264,0.0005,0.0241
3.2532,open drawer+pick up bowl,0.004,0.0775,0.0177,0.0205,0.0371,0.037,0.0298,0.0164,0.0024,0.0165,0.016,0.0033,0.0115,0.0172,0.0053,0.0229,0.0164,0.0043,0.0012,0.0443,0.0023,0.0073,0.0001,0.0203,0.0092,0.0076,0.0267,0.0221,0.0089,0.013,0.0017,0.0118,0.024,0.003,0.0002,0.0027,0.0058,0.038,0.0187,0.0095,0.0159,0.0104,0.0262,0.0664,0.0132,0.001,0.0363,0.0074,0.0085,0.0044,0.0116,0.0271,0.0099,0.0484,0.0003,0.0022,0.0086,0.0006,0.0007,0.0143,0.0272,0.0006,0.0247
3.3367,open drawer+pick up bowl,0.004,0.0727,0.0197,0.0236,0.0361,0.0356,0.029,0.0163,0.0026,0.0155,0.0176,0.0034,0.0102,0.0165,0.0054,0.0236,0.0152,0.0042,0.0012,0.0414,0.0021,0.0066,0.0001,0.0185,0.0096,0.007,0.0261,0.0238,0.0087,0.0137,0.0016,0.011,0.0228,0.003,0.0002,0.0026,0.0059,0.0395,0.0177,0.0116,0.0212,0.0117,0.0224,0.0614,0.0175,0.0008,0.0432,0.0072,0.0087,0.0035,0.0118,0.0303,0.0082,0.0418,0.0003,0.0022,0.0087,0.0006,0.0007,0.0134,0.0307,0.0007,0.0269
3.4201,open drawer+pick up bowl,0.0035,0.0694,0.0208,0.0253,0.0397,0.0356,0.0314,0.0148,0.0026,0.0122,0.0143,0.0035,0.009,0.0202,0.005,0.0268,0.0139,0.0044,0.0013,0.0369,0.002,0.0058,0.0001,0.0168,0.0094,0.0063,0.03,0.0253,0.0081,0.0144,0.0016,0.0099,0.0233,0.0029,0.0002,0.0025,0.0054,0.0357,0.0188,0.0118,0.0252,0.0133,0.0204,0.0582,0.0211,0.0008,0.0477,0.0072,0.0086,0.0034,0.0124,0.0321,0.0074,0.0375,0.0002,0.002,0.008,0.0005,0.0007,0.0146,0.0302,0.0007,0.0268
