time,no action,take cup,put down cup,fold tablecloth,pull down tablecloth,take washing up liquid,pour washing up liquid into cup,open tap,wash cup,rinse spoon,rinse cup,turn tap,pull down cup,take cereal bag,rinse sink,rinse hands,close tap,dry hands,take bottle,open bottle,take glass,pour water,drink water,put down bottle,fold cereal bag,put down glass,take container,put cereal bag into cereal box,close cereal box,open cupboard,put down cereal box,close cupboard,take tablecloth
1.3347,0.0026,0.0835,0.0311,0.0353,0.0638,0.0009,0.0045,0.0,0.0012,0.0,0.0007,0.0001,0.0137,0.1797,0.0,0.0,0.0,0.0007,0.0122,0.0125,0.0467,0.0093,0.0405,0.0035,0.0751,0.0028,0.0189,0.1083,0.126,0.0074,0.0661,0.0116,0.041
1.4181,0.0024,0.0839,0.0323,0.0288,0.0535,0.0008,0.0048,0.0,0.0012,0.0,0.0008,0.0,0.0152,0.1893,0.0,0.0,0.0,0.0007,0.0108,0.0134,0.0364,0.0115,0.039,0.0037,0.0774,0.0025,0.0164,0.1189,0.1356,0.0067,0.0694,0.0106,0.0338
1.5015,0.0021,0.0803,0.03,0.0221,0.0423,0.0006,0.0049,0.0,0.0012,0.0,0.0007,0.0,0.0153,0.2001,0.0,0.0,0.0,0.0006,0.0094,0.0131,0.0307,0.0132,0.037,0.0035,0.0776,0.0023,0.0152,0.134,0.1463,0.0053,0.076,0.0084,0.0277
1.5849,0.0016,0.0931,0.0331,0.0153,0.0327,0.0006,0.0058,0.0,0.0013,0.0,0.0008,0.0,0.0184,0.2012,0.0,0.0,0.0,0.0006,0.0101,0.0144,0.0287,0.0135,0.0378,0.0036,0.073,0.0021,0.0155,0.1399,0.1457,0.0047,0.0784,0.0077,0.0202
1.6683,0.0012,0.0921,0.0355,0.011,0.027,0.0006,0.0065,0.0,0.0012,0.0,0.0007,0.0,0.0221,0.2115,0.0,0.0,0.0,0.0006,0.0107,0.0142,0.0298,0.0139,0.0405,0.0036,0.074,0.0021,0.0163,0.1378,0.1432,0.0043,0.0772,0.0071,0.015
1.7518,0.001,0.086,0.0339,0.0107,0.0272,0.0007,0.0065,0.0,0.001,0.0,0.0006,0.0,0.0202,0.2121,0.0,0.0,0.0,0.0006,0.0109,0.0129,0.0328,0.0128,0.0404,0.0035,0.0764,0.0022,0.0168,0.1374,0.1474,0.0037,0.081,0.0063,0.015
1.8352,0.0008,0.073,0.0314,0.0091,0.0238,0.0007,0.0058,0.0,0.0008,0.0,0.0005,0.0,0.02,0.2265,0.0,0.0,0.0,0.0006,0.0098,0.0108,0.0307,0.0119,0.0379,0.0032,0.0817,0.0021,0.0175,0.1413,0.152,0.0032,0.0867,0.0057,0.0126
1.9186,0.0006,0.0658,0.0339,0.0096,0.0262,0.0008,0.0057,0.0,0.0007,0.0,0.0004,0.0,0.021,0.2148,0.0,0.0,0.0,0.0008,0.0106,0.0118,0.0358,0.0124,0.0449,0.0039,0.0803,0.0026,0.0197,0.1385,0.1406,0.0036,0.0955,0.0065,0.0129
2.002,0.0007,0.0562,0.0306,0.0132,0.0347,0.001,0.0046,0.0,0.0006,0.0,0.0004,0.0001,0.0189,0.2069,0.0,0.0001,0.0,0.0012,0.0135,0.0124,0.0425,0.0113,0.0531,0.005,0.0814,0.0033,0.0236,0.1401,0.1207,0.0037,0.0963,0.0068,0.0173
2.0854,0.0008,0.0493,0.0277,0.0208,0.0501,0.0013,0.0038,0.0,0.0005,0.0,0.0003,0.0001,0.0177,0.1973,0.0,0.0001,0.0,0.0016,0.016,0.0126,0.0523,0.0087,0.0608,0.0058,0.0781,0.0039,0.0286,0.1239,0.1074,0.004,0.0937,0.0069,0.0257
2.1688,0.0009,0.0424,0.0235,0.0334,0.0778,0.0017,0.003,0.0,0.0004,0.0,0.0003,0.0001,0.0161,0.1642,0.0,0.0001,0.0,0.0021,0.0202,0.0133,0.0609,0.0069,0.0758,0.007,0.0713,0.0043,0.0329,0.1085,0.0902,0.0041,0.092,0.0072,0.0392
2.2523,0.0009,0.0359,0.0202,0.0436,0.0993,0.002,0.0023,0.0,0.0004,0.0,0.0002,0.0002,0.0146,0.1369,0.0,0.0002,0.0001,0.003,0.025,0.0137,0.0695,0.0057,0.0857,0.0086,0.0639,0.0049,0.0385,0.0886,0.0803,0.0047,0.0938,0.0084,0.049
2.3357,0.0009,0.0326,0.0189,0.0486,0.1196,0.0025,0.0018,0.0001,0.0004,0.0,0.0002,0.0002,0.0142,0.1235,0.0,0.0002,0.0001,0.004,0.0287,0.013,0.0725,0.0046,0.085,0.0106,0.057,0.0051,0.0468,0.0697,0.0713,0.0065,0.0939,0.0113,0.056
2.4191,0.0009,0.0261,0.0168,0.051,0.1301,0.0032,0.0014,0.0001,0.0003,0.0,0.0002,0.0003,0.0125,0.1222,0.0001,0.0003,0.0002,0.0054,0.03,0.0119,0.0678,0.0035,0.0761,0.0127,0.0546,0.0056,0.0515,0.0601,0.0695,0.0081,0.1027,0.0139,0.0609
2.5025,0.001,0.0217,0.0138,0.0612,0.1714,0.0035,0.001,0.0001,0.0003,0.0,0.0001,0.0004,0.0107,0.103,0.0001,0.0005,0.0003,0.0087,0.0277,0.0103,0.0612,0.0031,0.0694,0.014,0.046,0.0057,0.0552,0.0482,0.0584,0.0102,0.0973,0.0171,0.0784
2.5859,0.001,0.0215,0.0129,0.0647,0.1908,0.0039,0.0009,0.0002,0.0003,0.0,0.0002,0.0005,0.011,0.0898,0.0001,0.0006,0.0004,0.0115,0.0279,0.0094,0.0617,0.0025,0.0655,0.0157,0.0392,0.0058,0.0596,0.0426,0.0475,0.0136,0.0939,0.022,0.0825
2.6693,0.0011,0.021,0.0119,0.0663,0.2148,0.0046,0.0007,0.0004,0.0003,0.0001,0.0002,0.0007,0.011,0.0751,0.0002,0.001,0.0006,0.0153,0.029,0.0085,0.0648,0.002,0.0646,0.0171,0.0306,0.0059,0.0597,0.0344,0.0388,0.0171,0.0865,0.0253,0.0902
2.7528,0.0012,0.021,0.0103,0.0687,0.2241,0.0046,0.0006,0.0005,0.0003,0.0001,0.0002,0.0007,0.0103,0.0688,0.0003,0.0011,0.0007,0.019,0.027,0.0075,0.0663,0.0016,0.0638,0.0167,0.0289,0.0054,0.0546,0.0331,0.0363,0.0189,0.0881,0.026,0.0932
2.8362,0.0012,0.0216,0.0119,0.0578,0.2028,0.0051,0.0007,0.0006,0.0004,0.0001,0.0003,0.0008,0.0113,0.0721,0.0004,0.0014,0.0009,0.0215,0.0247,0.0071,0.0631,0.0015,0.0683,0.0172,0.0294,0.0057,0.0558,0.0341,0.0403,0.0251,0.1065,0.0337,0.0767
2.9196,0.0012,0.0236,0.0141,0.0477,0.1877,0.0051,0.0007,0.0009,0.0004,0.0001,0.0003,0.001,0.0133,0.0718,0.0005,0.0019,0.0013,0.0258,0.0243,0.0067,0.0608,0.0015,0.0709,0.0185,0.0303,0.0061,0.057,0.0362,0.0381,0.0285,0.1201,0.0371,0.0666
3.003,0.0011,0.0284,0.018,0.0355,0.1545,0.0058,0.0009,0.0014,0.0006,0.0001,0.0004,0.0013,0.0169,0.0763,0.0007,0.0028,0.0019,0.0305,0.0219,0.006,0.0627,0.0016,0.0722,0.0169,0.0315,0.0065,0.0569,0.0382,0.0387,0.0359,0.1346,0.0443,0.055
3.0864,0.0012,0.0345,0.0232,0.0307,0.1473,0.0079,0.0013,0.0024,0.0008,0.0002,0.0007,0.0019,0.0245,0.0705,0.0012,0.0041,0.003,0.0323,0.0194,0.0053,0.0663,0.0016,0.081,0.0142,0.0301,0.0077,0.06,0.0361,0.0325,0.0427,0.1166,0.0496,0.0489
3.1698,0.0011,0.0378,0.0284,0.0292,0.1489,0.011,0.0019,0.004,0.0012,0.0003,0.0011,0.003,0.034,0.0538,0.0021,0.007,0.0046,0.0394,0.0191,0.0053,0.0748,0.0017,0.0987,0.0124,0.0257,0.0095,0.0603,0.0291,0.0246,0.0457,0.0904,0.0506,0.0433
3.2532,0.0011,0.0417,0.0327,0.0281,0.1404,0.014,0.0027,0.0061,0.0016,0.0005,0.0017,0.0042,0.0452,0.036,0.0037,0.0109,0.0067,0.0415,0.0182,0.005,0.0869,0.002,0.1317,0.0103,0.0191,0.0107,0.063,0.021,0.0155,0.0456,0.0637,0.0476,0.0406
3.3367,0.0009,0.0497,0.0421,0.0212,0.1131,0.0199,0.0043,0.008,0.0025,0.0007,0.0026,0.0051,0.0697,0.0281,0.0055,0.014,0.0085,0.0384,0.0193,0.0054,0.0948,0.0018,0.1427,0.0096,0.0144,0.0122,0.0649,0.0174,0.0124,0.0432,0.0542,0.0431,0.0303
3.4201,0.0008,0.0523,0.0484,0.0162,0.0925,0.0216,0.0053,0.0094,0.0032,0.001,0.0035,0.0066,0.0898,0.0222,0.0071,0.019,0.0097,0.033,0.0198,0.0063,0.1072,0.002,0.1655,0.0092,0.0105,0.0147,0.0653,0.0122,0.0095,0.0356,0.0409,0.035,0.0248
3.5035,0.0007,0.0573,0.0588,0.0125,0.0699,0.0213,0.0065,0.0111,0.0051,0.0015,0.0055,0.0081,0.1119,0.0147,0.0087,0.0251,0.0114,0.0259,0.0188,0.0071,0.1196,0.0023,0.1833,0.0078,0.007,0.0171,0.0633,0.0081,0.0065,0.0277,0.0282,0.0275,0.0197
3.5869,0.0006,0.0628,0.0719,0.0102,0.057,0.026,0.0088,0.0116,0.0077,0.0023,0.0081,0.0105,0.1342,0.0099,0.0109,0.032,0.0123,0.0194,0.0194,0.0079,0.1182,0.0026,0.1704,0.0068,0.0045,0.0193,0.0656,0.0049,0.0043,0.0228,0.0172,0.0226,0.0173
3.6703,0.0005,0.0725,0.0829,0.008,0.0433,0.0298,0.0111,0.0136,0.013,0.0034,0.0132,0.0136,0.1548,0.006,0.0138,0.0401,0.0147,0.0163,0.0189,0.0091,0.1176,0.0027,0.1522,0.0054,0.0027,0.0179,0.0619,0.0029,0.0027,0.0161,0.0095,0.0158,0.0139
3.7538,0.0005,0.0706,0.0823,0.0063,0.0342,0.0348,0.0156,0.0153,0.0212,0.0055,0.0192,0.0172,0.1712,0.0039,0.0184,0.0474,0.0166,0.0142,0.0184,0.0111,0.1081,0.0028,0.1394,0.0046,0.0017,0.0161,0.0595,0.0018,0.0019,0.012,0.0055,0.0118,0.011
3.8372,0.0004,0.0731,0.0907,0.0057,0.0301,0.0375,0.0208,0.0139,0.0296,0.0072,0.0256,0.0176,0.1681,0.0028,0.0223,0.0499,0.0152,0.0121,0.0191,0.0139,0.1028,0.0031,0.1241,0.0047,0.0013,0.016,0.0578,0.0012,0.0013,0.0096,0.0036,0.0093,0.0096
3.9206,0.0003,0.0794,0.1004,0.0053,0.029,0.0369,0.023,0.0113,0.037,0.0078,0.0312,0.0177,0.165,0.0024,0.0222,0.0453,0.013,0.0106,0.0191,0.0157,0.1111,0.0036,0.1067,0.0044,0.001,0.0155,0.0561,0.001,0.0011,0.007,0.0029,0.0068,0.0097
4.004,0.0003,0.0881,0.1129,0.0045,0.0224,0.0356,0.0244,0.0108,0.0527,0.0097,0.0437,0.0192,0.1519,0.0021,0.026,0.0452,0.0131,0.0092,0.018,0.0171,0.1074,0.0044,0.0855,0.0042,0.0008,0.0147,0.0537,0.0009,0.001,0.0046,0.0025,0.0047,0.0087
4.0874,0.0003,0.0966,0.1192,0.0046,0.023,0.0335,0.0254,0.0088,0.0649,0.0109,0.0534,0.0186,0.139,0.002,0.0246,0.0424,0.0113,0.0089,0.0176,0.0196,0.1111,0.0044,0.0701,0.0041,0.0008,0.0135,0.0511,0.0008,0.001,0.0034,0.0022,0.0036,0.0092
4.1708,0.0003,0.1035,0.1195,0.0051,0.0225,0.0306,0.0234,0.0088,0.0696,0.0116,0.0586,0.021,0.1164,0.0018,0.0259,0.0433,0.0116,0.0082,0.0191,0.022,0.123,0.0049,0.064,0.0042,0.0007,0.0132,0.048,0.0007,0.0008,0.0028,0.0018,0.0029,0.0102
4.2542,0.0003,0.1004,0.1221,0.0061,0.0229,0.0358,0.0263,0.0098,0.0765,0.0131,0.0621,0.023,0.0986,0.0017,0.0304,0.0446,0.0132,0.0088,0.0212,0.0244,0.1118,0.0058,0.0592,0.0047,0.0008,0.0128,0.0442,0.0007,0.0008,0.0024,0.0018,0.0025,0.0115
4.3377,0.0002,0.0988,0.1247,0.0069,0.0265,0.0422,0.0308,0.0103,0.0688,0.0121,0.0545,0.023,0.0944,0.0019,0.0297,0.0385,0.0139,0.0091,0.025,0.0279,0.1035,0.0063,0.0624,0.0062,0.001,0.0128,0.0463,0.0009,0.0009,0.0025,0.002,0.0027,0.0133
4.4211,0.0002,0.0948,0.1213,0.0071,0.0257,0.0432,0.0311,0.0123,0.0645,0.0133,0.0545,0.0262,0.089,0.0019,0.0319,0.0364,0.0167,0.0087,0.0266,0.0284,0.1022,0.0075,0.0676,0.0073,0.0011,0.0121,0.0462,0.001,0.0009,0.0023,0.0021,0.0024,0.0135
4.5045,0.0003,0.081,0.1076,0.0094,0.0334,0.0469,0.0306,0.0142,0.0443,0.0123,0.0403,0.0284,0.0947,0.0027,0.0348,0.0388,0.0193,0.0102,0.0307,0.0263,0.1064,0.0091,0.0711,0.0096,0.0016,0.0143,0.0523,0.0014,0.0013,0.0027,0.0031,0.0029,0.0179
4.5879,0.0003,0.0932,0.1056,0.0123,0.0424,0.0433,0.0239,0.0114,0.0296,0.0081,0.0282,0.0238,0.0931,0.0045,0.0236,0.03,0.0159,0.0103,0.0347,0.0232,0.129,0.01,0.0771,0.0118,0.0026,0.0152,0.0558,0.0024,0.002,0.0036,0.0055,0.0039,0.0241
4.6713,0.0005,0.0895,0.0904,0.0157,0.0526,0.0398,0.0195,0.0103,0.019,0.0053,0.0187,0.02,0.0857,0.0073,0.0164,0.0213,0.0146,0.0113,0.035,0.0212,0.153,0.0093,0.0871,0.0136,0.0041,0.0174,0.0627,0.0041,0.0036,0.005,0.0098,0.0056,0.0306
4.7548,0.0006,0.0867,0.0735,0.0193,0.063,0.0391,0.0152,0.0109,0.0134,0.0044,0.0132,0.0192,0.0709,0.0107,0.0126,0.0211,0.015,0.0151,0.0394,0.0237,0.1506,0.0081,0.0908,0.0174,0.0059,0.0166,0.0639,0.0065,0.0055,0.0074,0.0158,0.0081,0.0365
4.8382,0.0008,0.0795,0.0586,0.0256,0.0878,0.0313,0.0104,0.0094,0.0082,0.0033,0.0085,0.0165,0.0638,0.0166,0.0079,0.0183,0.0125,0.0218,0.0409,0.0216,0.1382,0.0064,0.097,0.0196,0.0088,0.0138,0.0617,0.0097,0.0082,0.011,0.024,0.0124,0.0457
4.9216,0.001,0.0759,0.047,0.0337,0.1043,0.0247,0.0068,0.0082,0.0049,0.0019,0.0053,0.0137,0.0489,0.0232,0.0051,0.0133,0.0108,0.027,0.0424,0.0179,0.132,0.0054,0.092,0.0214,0.0126,0.0132,0.0597,0.0141,0.0109,0.0149,0.0352,0.0169,0.0557
5.005,0.0015,0.0605,0.0358,0.038,0.1175,0.0179,0.0044,0.006,0.0028,0.001,0.003,0.0096,0.0385,0.0348,0.0031,0.008,0.0084,0.0274,0.0398,0.0153,0.1162,0.0054,0.0947,0.0225,0.0183,0.0121,0.0697,0.0204,0.0174,0.0182,0.0522,0.0213,0.0583
5.0884,0.0021,0.0459,0.0258,0.0417,0.1293,0.0109,0.0026,0.0034,0.0015,0.0004,0.0014,0.0062,0.0296,0.0435,0.0016,0.0047,0.0051,0.0277,0.0381,0.0133,0.1084,0.0052,0.1021,0.0234,0.0236,0.0115,0.0771,0.0239,0.0223,0.0213,0.0619,0.0263,0.0581
5.1718,0.0027,0.0335,0.0179,0.0497,0.1501,0.008,0.0017,0.002,0.0009,0.0002,0.0008,0.004,0.0222,0.0528,0.001,0.0033,0.0032,0.0292,0.0325,0.0106,0.0954,0.0046,0.1039,0.0208,0.0283,0.0097,0.0679,0.0283,0.0277,0.0221,0.0775,0.0279,0.0595
5.2553,0.0031,0.022,0.0117,0.0598,0.173,0.0051,0.001,0.0011,0.0005,0.0001,0.0004,0.0022,0.015,0.0674,0.0006,0.002,0.0018,0.0285,0.0266,0.0085,0.0768,0.0037,0.091,0.0184,0.039,0.0079,0.0508,0.0362,0.0359,0.0248,0.0915,0.032,0.0618
5.3387,0.0032,0.0185,0.0095,0.0639,0.1786,0.0038,0.0007,0.0006,0.0003,0.0001,0.0002,0.0013,0.0106,0.0768,0.0004,0.0012,0.001,0.0243,0.0254,0.0083,0.0691,0.003,0.0995,0.0159,0.0467,0.006,0.0442,0.0394,0.0386,0.0254,0.0888,0.0332,0.0617
5.4221,0.0034,0.0144,0.0082,0.0701,0.1879,0.0034,0.0007,0.0005,0.0003,0.0001,0.0002,0.001,0.0088,0.0832,0.0003,0.001,0.0008,0.0236,0.0239,0.0082,0.0565,0.0029,0.1013,0.0146,0.0551,0.0053,0.04,0.0438,0.0417,0.024,0.0843,0.032,0.0586
5.5055,0.0036,0.012,0.0072,0.0677,0.1783,0.003,0.0007,0.0004,0.0002,0.0,0.0001,0.0009,0.0077,0.0915,0.0002,0.0009,0.0006,0.0239,0.0261,0.0086,0.0481,0.0037,0.1148,0.0136,0.0657,0.0042,0.0382,0.0472,0.0463,0.0219,0.0805,0.0306,0.0514
5.5889,0.0035,0.0105,0.0072,0.0683,0.1811,0.0024,0.0006,0.0002,0.0002,0.0,0.0001,0.0006,0.0077,0.0969,0.0002,0.0006,0.0004,0.0198,0.0256,0.0073,0.0448,0.004,0.1221,0.0121,0.0741,0.0038,0.0391,0.049,0.0499,0.0181,0.0732,0.0275,0.0488
5.6723,0.0038,0.009,0.0064,0.0693,0.182,0.0021,0.0007,0.0001,0.0002,0.0,0.0001,0.0004,0.0067,0.0945,0.0002,0.0004,0.0003,0.0135,0.0256,0.0072,0.0458,0.0048,0.1357,0.011,0.079,0.0037,0.0406,0.05,0.0513,0.0155,0.0678,0.0246,0.0476
5.7557,0.004,0.0072,0.006,0.0579,0.1693,0.002,0.0007,0.0001,0.0001,0.0,0.0001,0.0003,0.0067,0.1022,0.0001,0.0004,0.0002,0.0098,0.0273,0.0079,0.0438,0.0061,0.1603,0.0112,0.0884,0.0037,0.0413,0.0542,0.0526,0.0134,0.0624,0.0216,0.0385
5.8392,0.0038,0.0063,0.0052,0.0615,0.1699,0.0022,0.0008,0.0001,0.0001,0.0,0.0001,0.0002,0.0059,0.1028,0.0001,0.0003,0.0001,0.0083,0.0269,0.0071,0.0403,0.0057,0.1699,0.0095,0.0926,0.0032,0.0334,0.0603,0.0516,0.0123,0.0594,0.0202,0.0399
5.9226,0.0033,0.006,0.0048,0.0584,0.1681,0.0025,0.0009,0.0001,0.0001,0.0,0.0001,0.0002,0.0056,0.1178,0.0001,0.0003,0.0001,0.0071,0.0231,0.0057,0.0362,0.0048,0.1521,0.0067,0.0984,0.0025,0.0285,0.0754,0.0581,0.0115,0.0639,0.0185,0.0389
6.006,0.0031,0.0054,0.0044,0.0624,0.1636,0.0022,0.0008,0.0,0.0001,0.0,0.0,0.0002,0.0046,0.1317,0.0001,0.0003,0.0001,0.0062,0.023,0.0055,0.0339,0.0046,0.1153,0.0057,0.1126,0.0023,0.0287,0.0844,0.066,0.0114,0.0626,0.0188,0.04
6.0894,0.0028,0.0052,0.004,0.0653,0.1651,0.0023,0.0008,0.0,0.0001,0.0,0.0,0.0001,0.0041,0.1482,0.0001,0.0002,0.0001,0.0054,0.0236,0.0052,0.0331,0.004,0.0864,0.005,0.1147,0.0021,0.0311,0.0885,0.0718,0.0089,0.0628,0.015,0.0439
6.1728,0.003,0.0057,0.0041,0.0743,0.1868,0.0021,0.0007,0.0,0.0001,0.0,0.0,0.0001,0.0037,0.1507,0.0001,0.0002,0.0001,0.0049,0.0225,0.0049,0.0342,0.0039,0.0532,0.0048,0.1096,0.002,0.0313,0.0867,0.0774,0.0081,0.0605,0.0136,0.0508
6.2563,0.0029,0.0052,0.0035,0.078,0.1921,0.0019,0.0006,0.0,0.0,0.0,0.0,0.0001,0.0028,0.1589,0.0,0.0002,0.0,0.0043,0.0203,0.0045,0.0345,0.0035,0.0383,0.0042,0.109,0.0019,0.0309,0.0835,0.0829,0.0075,0.0605,0.0125,0.0554
6.3397,0.0023,0.0049,0.0034,0.0788,0.1836,0.0017,0.0006,0.0,0.0,0.0,0.0,0.0001,0.0026,0.1752,0.0,0.0001,0.0,0.0037,0.0183,0.0042,0.0309,0.0029,0.0266,0.0041,0.1155,0.0018,0.0303,0.0825,0.0871,0.0057,0.0645,0.0095,0.0589
6.4231,0.0019,0.0041,0.0028,0.0772,0.1507,0.0013,0.0005,0.0,0.0,0.0,0.0,0.0,0.002,0.2025,0.0,0.0001,0.0,0.0028,0.0154,0.0042,0.0281,0.0025,0.0198,0.0038,0.131,0.0016,0.0261,0.0852,0.0979,0.004,0.0715,0.0066,0.0562
6.5065,0.0017,0.0035,0.0025,0.0676,0.1098,0.0011,0.0005,0.0,0.0,0.0,0.0,0.0,0.0016,0.2292,0.0,0.0001,0.0,0.0021,0.0122,0.004,0.0236,0.0021,0.0162,0.0036,0.1517,0.0016,0.0212,0.0969,0.1103,0.0027,0.0803,0.0044,0.0494
6.5899,0.0015,0.0029,0.0018,0.0614,0.0821,0.0007,0.0004,0.0,0.0,0.0,0.0,0.0,0.0014,0.2408,0.0,0.0,0.0,0.0017,0.0082,0.0034,0.017,0.0015,0.0112,0.0028,0.1675,0.0012,0.0178,0.1054,0.1286,0.0017,0.092,0.0028,0.0443
6.6733,0.0014,0.0025,0.0015,0.0527,0.0591,0.0005,0.0004,0.0,0.0,0.0,0.0,0.0,0.0012,0.249,0.0,0.0,0.0,0.0013,0.0064,0.0033,0.0154,0.0013,0.0091,0.0025,0.1875,0.0011,0.0153,0.1101,0.145,0.0011,0.0938,0.0019,0.0366
6.7568,0.0012,0.0021,0.0011,0.0424,0.04,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0009,0.2624,0.0,0.0,0.0,0.0009,0.0052,0.0034,0.0119,0.0011,0.0071,0.0024,0.2214,0.0008,0.012,0.1125,0.1491,0.0007,0.0898,0.0012,0.0296
6.8402,0.0009,0.0019,0.0009,0.0313,0.0263,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0008,0.2696,0.0,0.0,0.0,0.0007,0.0042,0.0034,0.0098,0.0009,0.006,0.0021,0.2408,0.0006,0.0105,0.1194,0.154,0.0005,0.0916,0.0008,0.0223
6.9236,0.0008,0.0018,0.0009,0.0238,0.0196,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0008,0.2636,0.0,0.0,0.0,0.0008,0.0037,0.0036,0.0088,0.0008,0.0058,0.002,0.2599,0.0006,0.0095,0.1226,0.16,0.0004,0.0927,0.0008,0.0161
7.007,0.0007,0.0016,0.0007,0.0218,0.0163,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0007,0.2577,0.0,0.0,0.0,0.001,0.0031,0.0032,0.0076,0.0008,0.0062,0.0018,0.28,0.0005,0.0083,0.1229,0.1556,0.0004,0.0937,0.0007,0.0143
7.0904,0.0006,0.0016,0.0007,0.019,0.0142,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0,0.0009,0.2516,0.0,0.0,0.0,0.0012,0.0033,0.0038,0.0072,0.0008,0.0069,0.0021,0.2945,0.0005,0.0077,0.1229,0.1533,0.0004,0.0933,0.0007,0.0122
7.1738,0.0007,0.0016,0.0007,0.0212,0.0151,0.0002,0.0004,0.0,0.0,0.0,0.0,0.0,0.0009,0.2461,0.0,0.0,0.0,0.0014,0.0031,0.0039,0.0075,0.0008,0.0066,0.002,0.2927,0.0006,0.0069,0.1323,0.1522,0.0004,0.0887,0.0008,0.0133
